userName,content,score,at,repliedAt,appVersion
Pengguna Google,apk sampah. gak guna .jngn mau kalian pakai linkaja. hati2 kalau mau to up duit kalaian bisa2 gk masuk. ngadu ke livechat gak ada penyelesaian. malah dsuruh tanya ke agen yg mengirim dananya . aneh . padahal bukti trsksi sudh ada dan berhasil.tp saldo gk masuk jjg .. kecewa padahal duit gak bnyak yg di topup.. gmna kalau dduit pulluhan juta.bisa kaya kalian yya.patennn👎👎,1,2025-10-29 13:52:18,,
Pengguna Google,sangat kecewa sekali.,1,2025-10-29 12:53:02,,4.31.0
Pengguna Google,kenapa transaksi qris ada limitnya? saya udah full service padahal,1,2025-10-29 11:50:33,,4.43.0
Pengguna Google,"saran aja untuk penyedia aplikasi linkaja kalau bisa diaplikasi tersedia pengisian daya untuk mobil EV jadi tidak perlu repot-repot download aplikasi pengisian daya, contoh voltron, strooom, hyundai dan sebagainya. kalau bisa bekerja sama dengan penyedia aplikasi tersebut, agar pengguna aplikasi link bertambah banyak. ini sih saran aja, soalnya saya pengguna aplikasi link dan pengguna mobil EV. terima kasih",4,2025-10-29 07:10:15,,
Pengguna Google,"Bagus, 29-10-2025",5,2025-10-29 01:25:44,2022-04-16 22:41:49,4.43.0
Pengguna Google,coba dulu,2,2025-10-29 00:37:43,,4.43.0
Pengguna Google,👌,5,2025-10-28 23:56:16,,4.43.0
Pengguna Google,mudah,4,2025-10-28 23:29:39,,4.43.0
Pengguna Google,min kenapa aplikasi nya ga bisa di buka min saya perlu saldonya tolong dong info min,5,2025-10-28 23:21:35,,4.43.0
Pengguna Google,mudah dan cepat,5,2025-10-28 23:15:31,,4.43.0
Pengguna Google,apk tai lemot lolaaaaa,1,2025-10-28 23:06:33,,
Pengguna Google,"saya beli kuota dari LinkAja untuk nomer telkomsel, lama masuknya..padahal ni perusahaan satu kolam, malah lebih cepat dari DANA",1,2025-10-28 21:37:28,,4.43.0
Pengguna Google,aplikasi tolol makin sini bukan nya makin bagus malah makin buruk dari segi apapun,1,2025-10-28 20:00:49,,4.43.0
Pengguna Google,"lupa pin sampai 3 kali, eh akun malah di blokir, mencoba reset pin melalui email selalu ditolak, sampai sekarang akun saya tidak bisa dibuka ,sudah saya hubungi CS tapi tidak ada hasil.padahal ada banyak saldo di dalamnya. sangat buruk dan sangat merugikan. menyesal saya sempat menggunakannya",1,2025-10-28 15:36:28,,4.42.0
Pengguna Google,"aplikasi kacau, baru download pas mau buka gak bisa, gagal muat muluuu",1,2025-10-28 13:43:18,,4.43.0
Pengguna Google,ok bgs,4,2025-10-28 11:50:44,,4.43.0
Pengguna Google,email lama saya teratas terakhir entah pak sul entah siapa bilang dihape Bu haji😔,5,2025-10-28 09:45:45,,4.30.1
Pengguna Google,baik,5,2025-10-28 05:39:10,,4.43.0
Pengguna Google,terbaik..,5,2025-10-28 05:18:03,,4.43.0
Pengguna Google,aplikasi laknat top up e-wallet di potong dsana disini gila kapok aslinya jngan ada yang pake link aja gua saranin mana urgent jadi kurang 1000 padahal biaya top up dari pengirim 2500 ekh sampe di link aja masih di potong 1000 parah.,1,2025-10-28 02:54:34,,
Pengguna Google,auto,5,2025-10-27 22:00:07,,
Pengguna Google,jangan mau gunakan apk ini,1,2025-10-27 18:23:04,,4.43.0
Pengguna Google,buruk,1,2025-10-27 18:08:02,,
Pengguna Google,"costumer servis buruk. saya transaksi terkena pending selama 3 hari, saldo tidak kembali, aplikasi buruk, pembodohan publik, tidak layak di pakai.",1,2025-10-27 17:19:11,,4.43.0
Pengguna Google,mantap,5,2025-10-27 17:03:26,,
Pengguna Google,ga bsa transaksi,1,2025-10-27 12:21:07,,4.43.0
Pengguna Google,bagus,5,2025-10-27 11:20:05,,4.43.0
Pengguna Google,ribet uang sndiri tidak bisa kirim kembali sungguh mengecewakan maukirim uang disuruh proses lagi parah,1,2025-10-27 11:03:05,,
Pengguna Google,tiba tiba di blokir mna ada uangnya lagi,1,2025-10-27 10:12:16,,4.43.0
Pengguna Google,tolong kenapa tabungan emas gak bisa diakses,1,2025-10-27 09:31:00,,
Pengguna Google,sangat mudah di gunakan,5,2025-10-27 07:09:54,,
Pengguna Google,"ribet banget pake link pengambilan Poto KTP susah betul mau kaya mana kali padahal sudah jelas Poto KTP nya ,,,masih aja suruh ngulang,,,beda sama gopay mudah banget,,, ngapain kali may pertamina kerja sama pake aplikasi linkaja,,, aplikasi ga jelas😤",1,2025-10-26 11:24:23,,
Pengguna Google,chat Ama agen lama kali.mohon diperbanyak agen link aja nya biar makin cepet,1,2025-10-26 08:05:43,,4.43.0
Pengguna Google,sulit digunakan,1,2025-10-26 06:49:07,,4.21.1
Pengguna Google,sangat bagus dan simpel,5,2025-10-26 00:31:43,,4.43.0
Pengguna Google,kenapa sya kirim uwang kedana 2 kali tdak ada yg masuk. 1 pun tpi uwang nya bekurang gimna solusi nya ini.,5,2025-10-25 22:22:49,,4.43.0
Pengguna Google,tingkatkan,5,2025-10-25 19:45:45,,
Pengguna Google,pulsa internasional sudah tidak bisa lagi,1,2025-10-25 15:56:20,,
Pengguna Google,cs lelet gajelas,1,2025-10-25 14:47:08,,4.43.0
Pengguna Google,selalu muncul kode QR ngak jelas dan ngak bisa di skip mau di premium kan selagu gagal saya memakai apk ini hanya karna terpaksa karna t4 saya pom bengsin harus bayar pakai apk ini apk terburuk,1,2025-10-25 11:37:55,,4.43.0
Pengguna Google,"saya kecewa, karna saldo saya gak masuk, padha udah d kasih bukti.",1,2025-10-25 11:34:22,,4.43.0
Pengguna Google,kenapa susah masuk lagi ya setelah hp di reset,5,2025-10-25 11:32:41,,4.43.0
Pengguna Google,permudah dong untuk fitur isi saldonya ribet kalo harus bikin token Mulu,3,2025-10-25 06:18:29,,4.43.0
Pengguna Google,sangat bagus,3,2025-10-25 03:31:11,,4.43.0
Pengguna Google,nice,5,2025-10-25 01:31:29,,
Pengguna Google,transaksi gagal dan dana pengembalian tidak jelas,1,2025-10-24 23:21:32,,4.43.0
Pengguna Google,woi tolong la susah banget buat login respon susah taekkkkkk,1,2025-10-24 22:37:34,,
Pengguna Google,terbaik sepanjang sejarah top mantap,5,2025-10-24 22:35:12,,
Pengguna Google,apk asu hari gini masih pake sms,1,2025-10-24 16:52:35,,4.43.0
Pengguna Google,"kurang gesit cs nya dalan menyelesaikan masalah, masa saya kirim uang pending terus sampe skrng malah suruh tunggu 14x24 jam. giliran di kirim via Gmail malah langsung tidak terdaftar Gmail nya lucu banget.",1,2025-10-24 16:21:55,,4.43.0
Pengguna Google,akun bodoh karna gak bisa dipakai sama sekali,1,2025-10-24 15:49:57,,
Pengguna Google,engga bisa login pa no hp,1,2025-10-24 13:34:54,,4.43.0
Pengguna Google,"apakah aplikasi ini ada gangguan, saat saya mau buka kok masih loading lama",4,2025-10-24 12:41:16,,4.43.0
Pengguna Google,"tolong uang saya hilang 1 jtaan sat .... saya hubungi live chat ga gadaa pilihannya masalah nya tolong jangan ribet . 1.000.000. lumayan banget bagi sya ... awal ny sya mau narik uang 1jt lewat BCA dri linkaja ... tapi kodenya nda muncul"" di apk linkaja nya .. yaudah sya batalin ... pas saya mau cba LGI , tiba"" saldo sisa 80.000 dan saya cek riwayat transaksi malah ngga ada .... tlong lah . merugikan nama ny KLO begini , live chat ny jg gajellas . kasih kira nomor tlvn/wa biar menjelaskan",1,2025-10-24 09:02:27,,4.43.0
Pengguna Google,apk gk jelas niat mau isi ewallet malah saldo hilang,1,2025-10-24 06:43:59,,4.43.0
Pengguna Google,aplikasi sampah,1,2025-10-24 00:18:54,,4.43.0
Pengguna Google,"saya pengguna aplikasi linkaja bagus semua dan tidak ada kendala ,kalau boleh tolong di tambahin pelayanan pembayaran tv kabel untuk NEXPARABOLA terimakasih",5,2025-10-23 23:52:51,,4.43.0
Pengguna Google,"woi min kemarin"" ini apk bagus"" aja kok pas sekarang udah sejam apk mentok logo gabisa dibuka aduhhh btw ntar kalo dah normal bintang 5",3,2025-10-23 22:38:08,,4.43.0
Pengguna Google,kebanyakan bug,3,2025-10-23 21:09:27,,4.43.0
Pengguna Google,cuma upgrade verifikasi data diri lama banget kocak,1,2025-10-23 12:34:24,,4.43.0
Pengguna Google,kok transaksi tahun sebelumnya hilang tidak ada bagaimana ini kami mau lihat transaksi kalau di hilangkan,1,2025-10-23 09:07:16,,4.43.0
Pengguna Google,"berhati hati dengan aplikasi ini , kalau ngisi saldo atau kirim uang hati hati , ini aplikasi penipu,,, aku TF ke aplikasi ovo dari tgl 6/10/2025 sampai ini blm masu k, di kompirmasi bilang nya SDH ,tp uang hilang entah kmn JD hati hati",1,2025-10-23 06:44:45,,4.43.0
Pengguna Google,"maaf tgl 22/10/25 hari ini link ko eror saya sudah top up ko GK masuk2 ada apa ini 🙏 duit sudah hilang 300,000 GK tanggung jawab lagi buruk untuk sekarang kalo duit elektrik saya sudah kembali baru saya ulas lagi terimakasih",1,2025-10-22 22:23:09,,4.43.0
Pengguna Google,pinjol ilegal,1,2025-10-22 22:04:09,,4.43.0
Pengguna Google,"apk nya udah jelek sekarang masa udah dua akun punya saya link ajah nya tiba""di blokir mana ada saldo nya.tolong dong yang bner",1,2025-10-22 20:37:23,,
Pengguna Google,ok,5,2025-10-22 03:18:55,,
Pengguna Google,bagus,5,2025-10-21 17:24:05,,4.43.0
Pengguna Google,"parah, tf saldo ke rek sndri malah pending, mana ga ada bantuan lagi cuma livechat pake robot hadehhhh",1,2025-10-21 12:48:05,,4.43.0
Pengguna Google,isi saldo mengunakan E wallet selalu erorr,4,2025-10-21 12:17:41,,4.43.0
Pengguna Google,pending dari tgl 1 okt sampai saat ini masih pending..padahal kebutuhan mendesak...sangat KECEWA...sudah di live chat ternyata harus nunggu 14x24 jam atah 2 mingguan...gileeeeeee....,1,2025-10-21 08:34:05,,4.39.1
Pengguna Google,ga bisa masuk,1,2025-10-21 08:14:13,,
Pengguna Google,ok,5,2025-10-21 07:34:10,,4.43.0
Pengguna Google,luarbiasa,1,2025-10-21 00:16:25,,
Pengguna Google,"Bintang 2 dulu ya Maaf belum bisa kasih bintang full 1. Karena saya upgrade ke full service dari kemarin sudah 1x24 jam belum di verivikasi 2. & verivikasi email yang saya pakai untuk mendaftar susah banget, tapi setelah saya pakai email lain baru bisa kan aneh🙄",5,2025-10-20 23:41:52,2020-09-10 11:47:20,4.43.0
Pengguna Google,mantap 👍,5,2025-10-20 22:28:25,,
Pengguna Google,"e walet busuk,transfer sering pending,laporan nunggu sampai satu bulan lebih, tolonglah di perbaiki sistem nya. enggak kaya e walet sebelah laporan proses cuma 3hari kerja",1,2025-10-20 18:00:53,,4.43.0
Pengguna Google,koq sekarang ada iklan di dalam aplikasi. malah jadi gak nyaman,1,2025-10-20 15:51:02,,4.43.0
Pengguna Google,suka Erol 😏 kenapa gak bisa kirim ke bank lain nya🤦🏼‍♀️,2,2025-10-20 15:19:27,,4.43.0
Pengguna Google,sudah beberapa kali coba susah pakai QRIS,1,2025-10-20 13:34:33,,
Pengguna Google,email saya tidak bisa masuk,1,2025-10-20 11:14:21,,4.43.0
Pengguna Google,mantul,5,2025-10-20 11:02:44,,4.43.0
Pengguna Google,ini sy baru rubah hp tpi koq ga bisa konek ya,3,2025-10-20 10:56:24,,
Pengguna Google,ok,5,2025-10-20 05:59:41,,4.43.0
Pengguna Google,ok,5,2025-10-20 05:15:25,,
Pengguna Google,"biaya admin TERMAHAL diantara e-wallet se indonesia. tarik saldo, transfer bank, top up saldo semua nya mahal kalau bukan mypertamina dan udah ada BBM swasta di wilayah palembang, aplikasi ini sudah saya musnahin",1,2025-10-19 17:31:41,,4.43.0
Pengguna Google,"isi ulang kartu emony mandiri saldo sudah kepotong tapi saldo tidak masuk ke kartu,ujung2 ya isi ulang lagi ke agen terdekat padahal kita butuh karna mau masuk tol,.di hubngi kostomer service di blaz lewat emaill suruh nunggu 3×24 jm dgn mlakukan pngecekan secara berkala,bikin susah orang saja.",1,2025-10-19 17:25:35,,4.43.0
Pengguna Google,"saya transfer dari bank ke link aja tp d link aja ga masuk, sy chat online tp ga ada yg respon, sy minta tanggung jawab nya",1,2025-10-19 16:45:54,,
Pengguna Google,kenapa ada iklan ads pinjaman online di dalam aplikasi linkaja tolong hilangkan takut terjadi penipuan karena iklan pinjaman online ilegal dari web google,5,2025-10-19 15:28:18,,
Pengguna Google,apk perbankan kok banyak iklanya aneh,1,2025-10-19 12:00:33,,4.39.1
Pengguna Google,ok,5,2025-10-19 09:04:32,,4.43.0
Pengguna Google,udah kalian yang tertipu aplikasi ini sabar aja yah sebenernya gua juga sama anj**g tol**lll akun gua di bekukan asu emang ni aplikasi udah kita demo aja ke perusahaan nya emang yah skarang kita harus pinter milih aplikasi jangan yang kek aplikasi tolo**lll ini babb**iii,5,2025-10-19 07:53:17,,4.43.0
Pengguna Google,sangat membantu,5,2025-10-19 06:26:14,,4.43.0
Pengguna Google,saya mau tranfer ke ATM knpa gak bis ya,4,2025-10-19 02:52:47,,4.43.0
Pengguna Google,"mohon di perbaiki lagi, tidak ada akun link aja mengapa bisa di top up dan mengapa link aja di aplikasi digipos tidak tertaut pada aplikasi ini saya rugi 300 ribu karna salah mengira",1,2025-10-18 18:57:25,,4.43.0
Pengguna Google,👍👍,5,2025-10-18 18:41:39,,4.42.0
Pengguna Google,susah transaksi aplikasi ga guna,1,2025-10-18 16:20:17,,
Pengguna Google,ok,5,2025-10-18 15:54:06,,
Pengguna Google,Qris eror terus,1,2025-10-18 02:36:36,,4.43.0
Pengguna Google,"Halo teman2 semua saya harap yg blm pernah download apk linkaja ini ada baik nya jangan pernah download apk ini,apk ini saya anggap penipu Krn saya sudah bertransaksi mengirim uang dari apk dana ke rekening linkajja ini uang nya tidak masuk,sudah jelas2 di detail transaksi pengiriman uang berhasil tapi nyatanya uang nya tidak masuk ke rekening linkajja ini..",1,2025-10-17 17:23:46,,4.43.0
Pengguna Google,good,5,2025-10-17 16:41:51,,4.42.0
Pengguna Google,"halo.. kepada pihak penyedia e wallet link aja.. mohon diperbaiki sistemnya. masa cuma gara2 ganti hp tidak bisa login lagi, smentara nomor hp masih aktif. knapa dialihkan dan dikaitkan dengan Gmail. mohon kerja sama yg baik biar makin bagus dan banyak penggunanya. memang uang saya disitu GK banyak tapi knapa dipersulit buat login ke akun saya sendiri. mana ini yg katanya cuma pke nomor hp sudah bisa login dan bertransaksi.",1,2025-10-17 11:51:37,,4.43.0
Pengguna Google,"aplikasi penipuu... top up dari shopeepay tidak masuk. padahal transaksi sudah berhasil, sudah tunggu 1x24jam pun saldo tidak bertambah",1,2025-10-17 10:13:20,,4.42.0
Pengguna Google,"tolong konfirmasi pembayaran sya yg masi pending,saya udah menunggu selama 1*24jam.",1,2025-10-17 09:52:20,,4.43.0
Pengguna Google,"Disaat mau melakukan pembayaran, loadingnya malah lama banget. kadang kode qrisnya ga kebaca, padahal sebelumnya bisa. kacau nih.",2,2025-10-17 05:04:22,,4.43.0
Pengguna Google,aplikasi sampah,1,2025-10-17 03:25:23,,4.43.0
Pengguna Google,"dak jelas gak bisa d buka, apk paling cacat dari seluruh apk di playstore... suruh upgrade pas di kamera bersih ehh dah di foto hasil nya blurr dari apk nya,,,asli link terparah abad ini,, jangan instal",1,2025-10-17 00:35:09,,
Pengguna Google,kenapa gak bisa dibuka ini?,1,2025-10-16 23:43:38,,4.43.0
Pengguna Google,kenapa gak bisa di buka aplikasi nya tapi transfer masuk tolong dong pihak apk nya resfon nih,2,2025-10-16 23:43:09,,4.43.0
Pengguna Google,"developer sebenernya denger masukan customer nggak ? saya pengguna lama . tapi sekarang makin ancur bukannya makin bener QRis sering bermasalah , login susah padahal sinyal bagus",1,2025-10-16 23:43:04,,4.43.0
Pengguna Google,apk kok ga bisa di buka ya?? lama bngt nunggu nya,1,2025-10-16 23:41:38,,4.43.0
Pengguna Google,"Pembaharuan malah makin jlek..... LEMOT hampir 30 menit Loading pas masuk...... Saldo udh ga aman kyknya....... STOP pakai linkaja.... Udh mulai ga nyaman, sudah mulai ada indikasi pencurian saldo",1,2025-10-16 23:40:19,,4.43.0
Pengguna Google,"ada apa ini di tgl 16/17 Oktober 2025, link ajak gak bisa di akses. ada apadengan apk ini. saya sangat kesulitan dalam melakukan transaksi. mohon kepada YTH BPK/ibu pemilik apk LINKAJA 🙏. ""tolong segera perbaiki sistem apk link aja saat ini tidak bisa di akses. TERIMAKASIH 🙏 hormat Saya 😍😍😍😍😍 RIPAN FAUZI",1,2025-10-16 23:40:05,,4.43.0
Pengguna Google,"makin update makin nggk beres, ni aplikasi, mau masuk aja nunggu nya lama banget kdang2 nggk bisa jln apk nya",1,2025-10-16 23:38:20,,4.43.0
Pengguna Google,slow,5,2025-10-16 23:37:44,,
Pengguna Google,semkin kesini ko semkin ga jelas di buka cuman stak di gambar doang ga bisa masuk aneh kali ini,3,2025-10-16 23:29:07,,4.43.0
Pengguna Google,sangat membantu saya,5,2025-10-16 23:26:47,,4.42.0
Pengguna Google,sering erorrr,1,2025-10-16 23:26:37,,4.43.0
Pengguna Google,"kecewa pake apk ini, padahal udah lama pake apk ini, transaksi gagal tapi saldo blum balik2",1,2025-10-16 20:45:08,,
Pengguna Google,mudah dipelajari,5,2025-10-16 16:31:49,,4.43.0
Pengguna Google,oh 22aw2,1,2025-10-16 11:09:26,,4.31.0
Pengguna Google,Tdk dapat menerima transaksi..mohon di bantu,1,2025-10-16 10:40:49,2023-07-17 13:14:25,4.42.0
Pengguna Google,mantap,4,2025-10-16 09:46:55,,4.42.0
Pengguna Google,"halo admin untuk transaksi berulang biasanya gagal terus, tolong diperbaiki.",1,2025-10-16 08:59:11,,4.43.0
Pengguna Google,"aplikasi jelek, mau upgrade gak bisa suruh Poto pakai e KTP asli padahal dah pakai yang asli, nyesel pakai ini aplikasi yang lain jangan instal aplikasi sampah ini",1,2025-10-16 08:25:26,,4.42.0
Pengguna Google,"Mantap mudah dan cepat, sayangnya kalian memakan uang haram, uang kami sisa di link tiba² lenyap. dasar aplikasi yahudi janji manis tapi menipu..",3,2025-10-16 08:20:07,2023-03-30 09:50:46,4.43.0
Pengguna Google,keren beben jobor,5,2025-10-16 05:20:00,,4.41.0
Pengguna Google,"gara²aplikasi ini saya harus membayar uang yang saya udah tarik duluan udhlh blacklist aja aplikasi ini merugikan orang cover nya aja bilang pede2 apa""bisa padahal jauh dari aslinya",1,2025-10-15 23:33:31,,
Pengguna Google,aplikasi lemot apa apa kena biyaya admin jangan instal rugi,1,2025-10-15 21:55:52,,
Pengguna Google,"aplikasi sering bermasalah, top up saldo namun tak kunjung di proses. komplain dengan cs proses lambat",2,2025-10-15 20:20:03,,4.42.0
Pengguna Google,temen gua udh tf dari apk dana ke linkaja malah gak masuk uangnya ...,2,2025-10-15 15:47:31,,4.43.0
Pengguna Google,"min ,,, aplikasi linkaja saya kenapa selalu muncul kode tiket,,,dan tidak bisa ke menu utama,,,sudah saya uninstall,,,dan download lagi,,,tetap saja lagsung ke kode tiket lagi,,,tolong lah di perbaiki",5,2025-10-15 12:20:25,,4.43.0
Pengguna Google,"belum puas bertransaksi menggunakan LinkAja karena pengisian saldo di LinkAja saldo di potong, tidak seperti e-wallet lain.",1,2025-10-15 10:09:45,,4.42.0
Pengguna Google,ok,5,2025-10-14 22:23:07,,
Pengguna Google,kok ada iklannya?,1,2025-10-14 17:29:08,,4.23.1
Pengguna Google,aplikasi gajelas transfer ke dana malah ga masuk uang nya mending pake apk lain aja yg lebih jelas,1,2025-10-14 11:18:36,,4.43.0
Pengguna Google,aplikasi patah pending Mulu pas bayar QRIS bikin malu tolol,2,2025-10-14 10:36:20,,4.42.0
Pengguna Google,"Pelayanan dan penanganan fitur live chat sangat buruk. Live chat hanya bot/robot yang menjawab dengan otomatis. Saldo terpotong dan tidak ada refund sampai hari ini tidak ada kejelasan, padahal linkaja salah satu dompet digital ternama namun banyak keluhan pengguna atau masyarakat yang tidak bisa ditangani dengan baik. LIVE CHAT TIDAK BERGUNA...",1,2025-10-14 07:46:30,2019-12-26 17:00:37,4.42.0
Pengguna Google,app penipu,1,2025-10-14 03:03:28,,
Pengguna Google,goood,5,2025-10-14 00:58:23,,
Pengguna Google,saldo pending gak ada solusinya ya selamanya pending payah nih yang punya aplikasi linkaja gak ada respon cepat untuk penyelesaiannya,1,2025-10-13 23:17:29,,4.43.0
Pengguna Google,bubarin aja kantor y klo banyak merugikan org seperti ini,1,2025-10-13 20:04:22,,4.42.0
Pengguna Google,geblek lah. e wallet ngga guna. tranfer aja bayar.,1,2025-10-13 19:55:39,,
Pengguna Google,pinnya susah masuk,2,2025-10-13 17:52:10,,
Pengguna Google,ga ada,4,2025-10-13 17:19:48,,
Pengguna Google,"parah ni, TF dari BRI ke link aja sudah sukses tapi dari link aja belum juga masuk sampai sekarang. respon dari link aja gak jelas kali.",1,2025-10-13 14:17:45,,4.42.0
Pengguna Google,"kecewa top up ke link aja tidak masuk saldonya, di mobile bangking sudah ada notif berhasil top up, tapi saldo link aja nya ga nambah",2,2025-10-13 13:00:26,,4.42.0
Pengguna Google,"isi pulsa 200k status sukses, tapi pulsa gak masuk, minta kode SN susah. Hubungi call center sibuk, live chat sibuk, email linkaja gak jawaban. Aplikasi g*block",1,2025-10-13 11:55:09,2023-04-28 13:17:56,4.42.0
Pengguna Google,belum tau,4,2025-10-12 23:53:17,,4.42.0
Pengguna Google,beli paketan EMI knp nggk bisa?,1,2025-10-12 19:04:27,,4.42.0
Pengguna Google,saya baru download apk linkaja pas masuk di suruh masuk link yg udah dikirim ke email tapi malah link nya gk bisa dipencet katanya link nya kadaluarsa padahal gak,1,2025-10-12 13:32:17,,4.42.0
Pengguna Google,akun saya kena bajak ni,5,2025-10-12 08:36:12,,4.42.0
Pengguna Google,SANGAT SANGAT BURUK INI APK,1,2025-10-11 18:59:50,,
Pengguna Google,mau transfet aja gangguan haduh amatiran baget baru kali ini mau transfer gangguan apk lain ga pernah tu ni mah akal akalan busuk biar duit ga kluar kapok make apk ini culas,1,2025-10-11 18:34:03,,
Pengguna Google,Garena free fire,5,2025-10-11 16:32:01,,4.42.0
Pengguna Google,"kenapa diaplikasi linkaja sekarang ada iklan?top up ada biaya, transfer ada biaya,ini aplikasi tidak ada yang gratis kenapa masih ada iklan?",1,2025-10-11 10:15:46,2022-08-26 17:07:43,4.42.0
